GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TicTacToe2,com.metronom.tictactoe2.core,PlayEngine,173,0,12,0,47,0,14,0,8,0
TicTacToe2,com.metronom.tictactoe2.exceptions,InvalidCellException,4,0,0,0,2,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2.exceptions,ConfigNotFoundException,3,0,0,0,1,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2.exceptions,InvalidConfigException,4,0,0,0,2,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2.core.enums,ConfigKey,44,0,0,0,5,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2,TicTacToe2,49,0,0,0,19,0,3,0,3,0
TicTacToe2,com.metronom.tictactoe2,TicTacToe2Server,49,0,2,0,15,0,3,0,2,0
TicTacToe2,com.metronom.tictactoe2.config,PlayerName,0,48,0,0,0,8,0,3,0,3
TicTacToe2,com.metronom.tictactoe2.config,ParamsBuilder,0,62,0,0,0,17,0,7,0,7
TicTacToe2,com.metronom.tictactoe2.config,Params,0,27,0,0,0,10,0,5,0,5
TicTacToe2,com.metronom.tictactoe2.lang,MessageKey,134,0,0,0,14,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2.lang,Messages,20,0,0,0,6,0,4,0,4,0
TicTacToe2,com.metronom.tictactoe2.models,AIPlayer,32,7,6,0,6,2,4,1,1,1
TicTacToe2,com.metronom.tictactoe2.models,PlayerBuilder,0,65,0,2,0,18,0,11,0,10
TicTacToe2,com.metronom.tictactoe2.models,PlayRuntimeStatus,37,0,0,0,7,0,3,0,3,0
TicTacToe2,com.metronom.tictactoe2.models,HumanPlayer,0,9,0,0,0,3,0,2,0,2
TicTacToe2,com.metronom.tictactoe2.models,PlayField,228,7,24,0,37,2,23,2,11,2
TicTacToe2,com.metronom.tictactoe2.models,Cell,0,15,0,0,0,6,0,3,0,3
TicTacToe2,com.metronom.tictactoe2.models,Player,0,24,0,0,0,9,0,4,0,4
TicTacToe2,com.metronom.tictactoe2.ui,AsciiArt,88,0,8,0,18,0,8,0,4,0
TicTacToe2,com.metronom.tictactoe2.ui,ConsoleHandler,529,21,50,0,97,7,39,3,14,3
TicTacToe2,com.metronom.tictactoe2.ui,ConsoleMessage,194,0,0,0,22,0,3,0,3,0
TicTacToe2,com.metronom.tictactoe2.ui,AsciiArt.Settings,15,0,0,0,5,0,1,0,1,0
TicTacToe2,com.metronom.tictactoe2.ui,ConsoleWriter,3,0,0,0,1,0,1,0,1,0
